,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,68,PF,1575590687,78,-23.12,-134.97,298.93,4.31
1,Butaritari,100,KI,1575590693,86,3.07,172.79,298.75,3.62
2,Vaini,11,IN,1575590689,89,15.34,74.49,291.49,4.07
3,Tiksi,100,RU,1575590693,100,71.64,128.87,247.82,1.52
4,Luangwa,85,MZ,1575590694,63,-15.62,30.4,298.33,5.56
5,Chuy,31,UY,1575590682,75,-33.69,-53.46,287.82,2.96
6,Hovd,75,NO,1575590694,81,63.83,10.7,278.15,9.3
7,Mar del Plata,50,AR,1575590694,31,-46.43,-67.52,293.36,7.28
8,New Norfolk,75,AU,1575590684,50,-42.78,147.06,287.04,12.3
9,Kaitangata,100,NZ,1575590694,77,-46.28,169.85,287.04,5.53
10,Bambous Virieux,20,MU,1575590694,94,-20.34,57.76,297.59,2.1
11,Severo-Kurilsk,93,RU,1575590694,84,50.68,156.12,266.89,13.63
12,Cidreira,6,BR,1575590694,69,-30.17,-50.22,293.19,5.67
13,Blois,21,FR,1575590694,92,47.59,1.33,272.15,2.43
14,Nanortalik,100,GL,1575590694,59,60.14,-45.24,272.07,3.83
15,Padang,45,ID,1575590672,88,-0.92,100.36,294.04,2.24
16,Kathmandu,20,NP,1575590569,93,27.71,85.32,279.15,1.0
17,Ushuaia,75,AR,1575590402,75,-54.81,-68.31,280.15,16.5
18,Ballina,100,IE,1575590694,95,54.11,-9.15,284.26,3.58
19,Souillac,90,FR,1575590694,100,45.6,-0.6,276.15,1.0
20,Avarua,0,CK,1575590694,69,-21.21,-159.78,301.15,7.2
21,Hermanus,0,ZA,1575590693,52,-34.42,19.24,293.15,0.89
22,Punta Arenas,75,CL,1575590694,53,-53.16,-70.91,284.15,11.3
23,Mrakovo,75,BA,1575590694,100,43.97,18.28,271.15,1.5
24,Ribeira Grande,96,PT,1575590540,78,38.52,-28.7,287.55,1.51
25,Xining,0,CN,1575590438,66,36.62,101.77,259.81,3.21
26,Cape Town,0,ZA,1575590197,43,-33.93,18.42,295.15,3.6
27,Tasiilaq,0,GL,1575590695,58,65.61,-37.64,269.15,2.1
28,Quatre Cocos,20,MU,1575590695,94,-20.21,57.76,297.59,2.1
29,Straumen,75,NO,1575590695,87,63.87,11.3,275.15,9.3
30,Ponta do Sol,100,BR,1575590695,97,-20.63,-46.0,293.07,0.29
31,Roald,100,NO,1575590695,86,62.58,6.12,278.15,7.7
32,Atar,6,MR,1575590695,48,20.52,-13.05,287.96,1.11
33,Wilmington,90,US,1575590406,48,39.75,-75.55,279.15,6.7
34,Tuktoyaktuk,90,CA,1575590693,77,69.44,-133.03,255.15,9.8
35,Yellowknife,20,CA,1575590695,75,62.45,-114.38,246.48,2.6
36,Qaanaaq,90,GL,1575590539,67,77.48,-69.36,254.48,3.31
37,Daloa,74,CI,1575590695,68,6.88,-6.45,296.33,1.76
38,Bluff,0,AU,1575590692,38,-23.58,149.07,305.5,3.42
39,Busselton,67,AU,1575590688,18,-33.64,115.35,304.26,5.3
40,Bambanglipuro,100,ID,1575590685,74,-7.95,110.28,300.14,0.47
41,Sibolga,57,ID,1575590695,92,1.74,98.78,294.71,1.64
42,Esperance,40,AU,1575590695,72,-33.86,121.89,290.15,5.1
43,Torrelavega,46,ES,1575590695,100,43.35,-4.05,284.26,2.27
44,Hasaki,75,JP,1575590681,86,35.73,140.83,279.15,6.2
45,Carnarvon,88,ZA,1575590689,75,-30.97,22.13,289.32,4.91
46,Riyadh,0,SA,1575590695,51,24.63,46.72,290.15,3.6
47,Uruzgan,0,AF,1575590695,42,32.93,66.63,272.87,2.87
48,Erenhot,8,CN,1575590696,68,43.65,111.97,264.77,5.37
49,Ilulissat,20,GL,1575590696,42,69.22,-51.1,259.15,4.1
50,Kapaa,40,US,1575590696,58,22.08,-159.32,301.15,3.6
51,Hailey,90,US,1575590696,89,43.52,-114.32,273.15,2.6
52,Jamestown,0,AU,1575590696,26,-33.21,138.6,294.94,3.73
53,Shu,100,KZ,1575590696,90,43.6,73.76,277.23,2.93
54,Srednekolymsk,96,RU,1575590696,87,67.46,153.71,252.68,6.68
55,Tessalit,59,ML,1575590696,16,20.2,1.01,292.52,2.72
56,Meulaboh,89,ID,1575590696,80,4.14,96.13,299.95,3.43
57,Karratha,36,AU,1575590696,71,-20.74,116.85,301.52,3.42
58,Muisne,75,EC,1575590671,83,0.61,-80.02,301.15,3.1
59,San Vicente de Canete,30,PE,1575590696,91,-13.08,-76.38,292.1,3.51
60,Zheleznodorozhnyy,75,RU,1575590696,86,55.75,38.0,275.93,4.0
61,Xianshuigu,4,CN,1575590696,73,38.98,117.38,269.15,3.0
62,Puerto Ayora,75,EC,1575590673,61,-0.74,-90.35,299.15,8.7
63,Mataura,100,NZ,1575590672,48,-46.19,168.86,291.89,6.3
64,Coos Bay,1,US,1575590696,82,43.37,-124.22,286.15,1.4
65,Talnakh,75,RU,1575590695,92,69.49,88.39,262.15,14.0
66,Zabid,17,YE,1575590696,46,14.2,44.5,285.56,1.99
67,Saint-Philippe,90,CA,1575590696,73,45.36,-73.48,269.82,7.7
68,Sorland,100,NO,1575590697,66,67.67,12.69,277.83,12.34
69,Presidente Medici,17,BR,1575590697,61,-11.18,-61.9,300.65,1.55
70,Linxia,0,CN,1575590697,45,35.6,103.21,264.14,4.45
71,Ugoofaaru,69,MV,1575590697,79,5.67,73.0,301.38,10.82
72,Castro,100,CL,1575590697,62,-42.48,-73.76,288.15,6.7
73,Bredasdorp,0,ZA,1575590697,87,-34.53,20.04,287.15,1.31
74,Prainha,99,BR,1575590697,73,-1.8,-53.48,300.05,1.07
75,Arraial do Cabo,90,BR,1575590697,94,-22.97,-42.02,298.15,2.1
76,Saint George,75,GR,1575590697,87,39.45,22.34,281.15,0.7
77,Kavaratti,7,IN,1575590698,73,10.57,72.64,301.25,5.15
78,Trinidad,90,BO,1575590698,88,-14.83,-64.9,295.15,4.1
79,Provideniya,75,RU,1575590698,73,64.42,-173.23,266.15,9.0
80,Phan Thiet,56,VN,1575590698,78,10.93,108.1,294.01,1.18
81,Olinda,75,AU,1575590698,51,-37.84,145.39,289.82,7.7
82,Georgetown,20,GY,1575590578,88,6.8,-58.16,299.15,2.1
83,Porto Torres,20,IT,1575590698,87,40.84,8.4,287.15,1.0
84,Muyezerskiy,100,RU,1575590699,97,63.93,31.65,273.27,6.84
85,Port Blair,40,IN,1575590699,69,11.67,92.75,299.8,9.33
86,Port Elizabeth,1,US,1575590699,59,39.31,-74.98,280.15,2.1
87,Sao Filipe,88,CV,1575590699,78,14.9,-24.5,293.43,9.23
88,Artemovsk,3,RU,1575590699,81,54.35,93.44,260.68,1.4
89,Chitipa,96,MW,1575590699,93,-9.7,33.27,290.65,0.89
90,Anadyr,75,RU,1575590699,78,64.73,177.51,265.15,12.0
91,Yulara,0,AU,1575590699,6,-25.24,130.99,304.15,3.6
92,Sitka,54,US,1575590690,62,37.17,-99.65,282.59,4.28
93,Bathsheba,40,BB,1575590700,69,13.22,-59.52,301.15,7.7
94,Tingo Maria,71,PE,1575590700,95,-9.29,-76.01,288.9,0.59
95,Hobart,75,AU,1575590482,50,-42.88,147.33,287.04,12.3
96,Trincomalee,100,LK,1575590700,96,8.58,81.23,296.61,1.46
97,Maniitsoq,0,GL,1575590700,44,65.42,-52.9,263.55,3.25
98,Batagay,100,RU,1575590700,97,67.65,134.64,233.62,0.79
99,Vardo,1,US,1575590700,60,39.62,-77.74,277.15,4.85
100,Brigantine,90,US,1575590700,52,39.41,-74.36,279.15,6.2
101,Cherskiy,30,RU,1575590701,65,68.75,161.3,256.27,4.31
102,Shache,10,CN,1575590701,70,38.42,77.24,268.15,1.56
103,Lagos,20,NG,1575590370,94,6.46,3.39,299.15,1.0
104,Sterling,1,US,1575590701,60,39.0,-77.4,279.26,2.75
105,Mayo,75,CA,1575590701,73,63.59,-135.9,238.15,1.0
106,Chokurdakh,75,RU,1575590704,90,70.62,147.9,248.31,6.4
107,Leningradskiy,100,RU,1575590704,83,69.38,178.42,264.45,5.56
108,Cabo San Lucas,20,MX,1575590704,73,22.89,-109.91,299.15,2.6
109,Dunedin,100,NZ,1575590597,62,-45.87,170.5,289.9,5.26
110,Kunming,90,CN,1575590704,100,25.04,102.71,271.15,3.0
111,Nichinan,75,JP,1575590704,61,31.65,131.31,281.15,3.1
112,Mahebourg,20,MU,1575590704,94,-20.41,57.7,297.59,2.1
113,Constitucion,40,MX,1575590702,10,23.99,-104.67,299.15,1.0
114,Dukat,100,AL,1575590704,74,40.25,19.57,288.43,3.23
115,Iquique,15,CL,1575590648,68,-20.22,-70.14,293.15,7.7
116,Hithadhoo,100,MV,1575590708,80,-0.6,73.08,300.81,2.68
117,Tirat Karmel,10,IL,1575590708,82,32.76,34.97,288.15,4.47
118,Yeppoon,43,AU,1575590708,49,-23.13,150.74,305.15,5.1
119,Upernavik,0,GL,1575590697,67,72.79,-56.15,259.21,6.73
120,Edd,0,ER,1575590708,48,13.93,41.69,298.99,0.87
121,Lorengau,38,PG,1575590707,73,-2.02,147.27,302.21,2.67
122,Oistins,40,BB,1575590708,69,13.07,-59.53,301.15,7.7
123,Ihosy,68,MG,1575590708,87,-22.4,46.13,291.18,5.51
124,Grand Gaube,20,MU,1575590692,94,-20.01,57.66,297.59,2.1
125,Iqaluit,75,CA,1575590678,77,63.75,-68.52,259.15,3.6
126,Birecik,75,TR,1575590708,87,37.03,37.98,279.15,5.1
127,Touros,32,BR,1575590700,78,-5.2,-35.46,298.15,3.1
128,Nantucket,90,US,1575590708,51,41.28,-70.1,278.15,5.1
129,Albany,90,US,1575590708,68,42.65,-73.75,273.71,3.6
130,Port Alfred,0,ZA,1575590699,86,-33.59,26.89,289.26,0.89
131,Nikolskoye,75,RU,1575590708,75,59.7,30.79,279.26,9.0
132,Carauari,99,BR,1575590709,91,-4.88,-66.9,297.98,0.55
133,Police,64,PL,1575590709,78,53.55,14.57,273.15,3.1
134,Flinders,70,AU,1575590709,31,-34.58,150.85,299.15,4.1
135,Kodiak,1,US,1575590709,57,39.95,-94.76,283.15,2.1
136,Pacific Grove,90,US,1575590588,77,36.62,-121.92,290.15,1.5
137,Kangaatsiaq,0,GL,1575590709,66,68.31,-53.46,260.93,6.84
138,Kalmunai,100,LK,1575590709,81,7.42,81.82,300.13,6.54
139,Pangnirtung,90,CA,1575590709,66,66.15,-65.72,261.15,4.1
140,Port Lincoln,4,AU,1575590709,58,-34.72,135.86,290.07,4.21
141,Alvin,1,US,1575590478,82,29.42,-95.24,295.15,1.5
142,Churapcha,100,RU,1575590707,97,62.0,132.43,234.39,2.44
143,Kalmar,100,SE,1575590709,81,56.66,16.36,279.15,7.2
144,Saint-Augustin,75,CA,1575590709,68,45.63,-73.98,269.26,3.6
145,Airai,5,TL,1575590709,41,-8.93,125.41,300.35,1.48
146,Vytegra,100,RU,1575590709,83,61.01,36.45,276.67,6.49
147,Zaozerne,0,UA,1575590709,71,51.37,23.94,272.21,5.11
148,Lydenburg,85,ZA,1575590709,95,-25.1,30.46,288.15,0.45
149,Thompson,40,CA,1575590703,83,55.74,-97.86,249.15,2.6
150,Katsuura,75,JP,1575590709,52,33.93,134.5,281.48,5.1
151,Birjand,47,IR,1575590709,45,32.86,59.22,280.15,3.1
152,Longyearbyen,75,NO,1575590680,68,78.22,15.63,271.15,13.4
153,Pevek,0,RU,1575590709,86,69.7,170.27,253.93,0.72
154,Adrar,0,DZ,1575590710,37,27.87,-0.29,285.15,2.1
155,Nhulunbuy,40,AU,1575590710,66,-12.18,136.78,303.15,2.6
156,Liku,100,ID,1575590710,89,-0.73,119.89,297.52,1.06
157,Aksu,90,KZ,1575590710,97,52.04,76.93,273.15,5.0
158,Coquimbo,20,CL,1575590710,72,-29.95,-71.34,289.15,4.6
159,Kloulklubed,90,PW,1575590713,94,7.04,134.26,299.15,3.1
160,Auxerre,90,FR,1575590713,100,47.8,3.58,272.15,2.6
161,Atuona,18,PF,1575590713,72,-9.8,-139.03,300.11,7.09
162,Malanje,100,AO,1575590713,96,-9.54,16.35,291.37,1.22
163,Dwarka,20,IN,1575590713,81,28.58,77.04,285.15,1.24
164,Tual,98,ID,1575590713,68,-5.67,132.75,302.06,0.72
165,Kupang,20,ID,1575590713,79,-10.16,123.6,302.15,1.5
166,Mbanza-Ngungu,99,CD,1575590713,99,-5.25,14.87,293.65,3.52
167,Chifeng,4,CN,1575590713,31,42.27,118.96,259.83,3.33
168,Oranjestad,20,AW,1575590716,78,12.52,-70.03,301.15,7.2
169,Vila Velha,97,BR,1575590716,74,-3.71,-38.6,300.37,3.1
170,Khatanga,0,RU,1575590716,86,71.98,102.47,242.29,5.98
171,Petropavlovsk-Kamchatskiy,96,RU,1575590696,85,53.05,158.65,261.15,2.0
172,Ceres,96,BR,1575590716,90,-15.31,-49.6,295.18,0.02
173,Awjilah,0,LY,1575590719,43,29.14,21.3,287.6,2.62
174,Labuhan,97,ID,1575590694,79,-2.54,115.51,299.95,0.79
175,Ormara,0,PK,1575590719,53,25.21,64.64,298.57,4.95
176,Bam,0,IR,1575590719,59,29.11,58.36,284.02,1.2
177,Preobrazheniye,0,RU,1575590719,56,42.9,133.91,258.52,3.79
178,Vanimo,100,PG,1575590719,81,-2.67,141.3,300.13,5.2
179,Lebu,81,ET,1575590719,89,8.96,38.73,284.46,0.35
180,Seoul,1,KR,1575590266,84,37.57,126.98,265.15,0.5
181,San Quintin,90,PH,1575590719,90,17.54,120.52,296.83,2.26
182,Los Llanos de Aridane,20,ES,1575590720,72,28.66,-17.92,291.15,7.7
183,Kirakira,95,SB,1575590703,76,-10.46,161.92,301.42,2.78
184,Torbay,90,CA,1575590720,94,47.66,-52.73,275.37,6.7
185,Camacupa,100,AO,1575590720,97,-12.02,17.48,290.65,1.84
186,Green River,90,US,1575590720,92,41.53,-109.47,272.15,4.1
187,Bethel,90,US,1575590720,92,60.79,-161.76,264.15,5.1
188,Hirara,75,JP,1575590720,88,24.8,125.28,292.15,8.2
189,Saskylakh,22,RU,1575590720,99,71.97,114.09,236.06,1.01
190,Eyl,73,SO,1575590720,69,7.98,49.82,301.08,8.2
191,Sioux Lookout,90,CA,1575590467,79,50.1,-91.92,266.15,4.6
192,Gualeguay,0,AR,1575590720,29,-33.15,-59.31,291.76,1.06
193,Barrow,68,AR,1575590720,43,-38.31,-60.23,289.24,2.34
194,Marsh Harbour,100,BS,1575590716,51,26.54,-77.06,295.14,2.93
195,Umm Lajj,0,SA,1575590720,51,25.02,37.27,291.71,1.54
196,Bilibino,86,RU,1575590720,88,68.06,166.44,250.45,3.86
197,Cururupu,40,BR,1575590721,88,-1.82,-44.87,296.9,1.24
198,Namatanai,85,PG,1575590721,72,-3.66,152.44,301.93,1.34
199,Talara,40,PE,1575590721,100,-4.58,-81.27,290.15,7.2
200,Varkaus,90,FI,1575590721,80,62.32,27.87,277.15,6.2
201,Alofi,75,NU,1575590721,74,-19.06,-169.92,302.15,4.1
202,Ulladulla,91,AU,1575590721,31,-35.36,150.48,299.15,4.1
203,Hofn,98,IS,1575590721,59,64.25,-15.21,275.4,7.82
204,Victor Harbor,40,AU,1575590721,59,-35.55,138.62,294.82,6.7
205,Nisia Floresta,40,BR,1575590721,74,-6.09,-35.21,299.15,3.6
206,Waitati,100,NZ,1575590721,62,-45.75,170.57,289.9,5.26
207,Veraval,90,FR,1575590721,92,49.65,0.71,279.15,4.6
208,Khudumelapye,99,BW,1575590721,71,-23.91,24.95,290.67,5.66
209,Port Hedland,7,AU,1575590721,70,-20.31,118.58,304.15,5.7
210,Broome,100,GB,1575590721,87,52.47,1.45,282.59,8.7
211,Gobabis,98,NA,1575590721,89,-22.45,18.97,289.96,3.8
212,Oriximina,32,BR,1575590721,61,-1.77,-55.87,302.57,2.5
213,Sur,0,OM,1575590721,61,22.57,59.53,294.52,4.27
214,Madingou,100,CG,1575590721,98,-4.17,13.56,295.19,0.82
215,Ebeltoft,100,DK,1575590721,87,56.2,10.68,281.15,5.1
216,Fairbanks,1,US,1575590721,82,64.84,-147.72,246.15,1.7
217,Mehamn,90,NO,1575590721,86,71.03,27.85,274.15,5.1
218,Stans,90,CH,1575590721,100,46.96,8.37,274.82,2.1
219,Tera,20,CY,1575590722,62,34.97,32.42,285.15,4.6
220,Ajdabiya,0,LY,1575590722,42,30.75,20.22,288.3,1.51
221,East London,44,ZA,1575590701,77,-33.02,27.91,292.17,8.48
222,Stratford-upon-Avon,100,GB,1575590526,87,52.19,-1.71,283.15,6.2
223,Saint-Georges,100,CA,1575590481,100,46.12,-70.67,270.37,4.92
224,Fonte Boa,100,BR,1575590722,88,-2.51,-66.09,298.76,0.33
225,Caravelas,82,BR,1575590706,85,-17.73,-39.27,296.17,4.39
226,Bagrami,0,AF,1575590722,74,34.49,69.27,274.15,1.0
227,Luderitz,74,NA,1575590722,77,-26.65,15.16,291.15,2.1
228,Hilo,90,US,1575590722,73,19.71,-155.08,297.15,2.29
229,The Valley,20,AI,1575590722,78,18.22,-63.06,301.15,3.6
230,San Carlos de Bariloche,75,AR,1575590722,32,-41.13,-71.31,292.15,8.2
231,Coihaique,20,CL,1575590722,54,-45.58,-72.07,287.15,7.2
232,Norman Wells,20,CA,1575590722,73,65.28,-126.83,239.15,1.5
233,Ailigandi,88,PA,1575590722,97,9.23,-78.02,296.79,0.74
234,Fukue,75,JP,1575590722,75,35.03,136.69,281.15,12.3
235,Pallasovka,100,RU,1575590722,91,50.04,46.89,272.8,6.42
236,Kudahuvadhoo,89,MV,1575590722,82,2.67,72.89,300.98,5.26
237,Vatutinki,90,RU,1575590722,86,55.5,37.33,275.93,6.0
238,Belmonte,0,PT,1575590716,85,40.36,-7.35,282.04,2.68
239,bhola,17,PK,1575590722,93,32.66,73.89,283.15,1.48
240,Kruisfontein,0,ZA,1575590722,61,-34.0,24.73,290.62,3.97
241,Dikson,100,RU,1575590675,94,73.51,80.55,254.01,6.9
242,Goianesia,100,BR,1575590441,89,-15.32,-49.12,294.9,0.37
243,Uyemskiy,90,RU,1575590722,100,64.47,40.85,274.15,5.0
244,Luganville,40,VU,1575590722,79,-15.51,167.18,303.15,4.1
245,Bafra,40,TR,1575590722,73,41.57,35.91,276.15,1.5
246,Ruscova,0,RO,1575590722,47,47.79,24.28,269.14,1.52
247,Smithers,75,CA,1575590725,92,54.78,-127.17,264.15,2.6
248,Lagoa,24,PT,1575590725,62,37.14,-8.45,287.15,3.1
249,Kavieng,84,PG,1575590726,68,-2.57,150.8,302.06,0.72
250,Tura,100,RU,1575590726,96,64.27,100.22,252.46,1.68
251,Reinosa,72,ES,1575590726,100,43.0,-4.14,284.26,1.77
252,Yuli,0,CN,1575590726,89,24.82,106.77,276.13,1.22
253,Zhuhai,3,CN,1575590726,84,40.71,112.04,255.15,2.0
254,Marzuq,0,YE,1575590726,45,14.4,46.47,284.36,0.93
255,Kumluca,58,TR,1575590726,58,36.37,30.29,283.04,1.84
256,Kaspiysk,0,RU,1575590726,79,42.88,47.64,271.15,3.0
257,Luis Correia,3,BR,1575590726,79,-2.88,-41.67,299.3,3.46
258,Taber,75,CA,1575590455,74,49.79,-112.14,274.15,3.6
259,Faanui,98,PF,1575590715,73,-16.48,-151.75,300.75,2.35
260,La Macarena,13,CO,1575590726,74,2.18,-73.79,298.56,1.49
261,Clyde River,90,CA,1575590726,76,70.47,-68.59,251.15,4.6
262,Ventspils,75,LV,1575590726,81,57.39,21.56,281.15,9.3
263,Parakou,2,BJ,1575590726,20,9.34,2.63,297.31,1.04
264,Rylsk,30,RU,1575590726,82,51.57,34.68,272.19,5.66
265,Raudeberg,100,NO,1575590726,86,61.99,5.14,278.15,4.1
266,Kathu,100,ZA,1575590726,82,-27.7,23.05,289.71,5.75
267,Victoria,75,BN,1575590638,88,5.28,115.24,299.15,3.76
268,Chapais,90,CA,1575590726,92,49.78,-74.86,267.15,4.6
269,Kargasok,100,RU,1575590727,96,59.06,80.87,271.4,5.21
